						  t1  t2  t3
a and that                0   1   0   
a baggins a               1   0   0   
a baggins had             0   1   0   
a baggins would           0   1   0   
a big beefy               0   0   1   
a bit more                0   0   1   
a bit queer               0   1   0   
a brandybuck they         1   0   0   
a bun from                0   0   1   
a cat reading             0   0   1   
a chance to               0   1   0   
a child like              0   0   1   
a couple of               0   0   1   
a dark bad                1   0   0   
a day when                0   1   0   
a decent respectable      1   0   0   
a dry bare                0   1   0   
a fairy wife              0   1   0   
a few minutes             0   0   1   
a firm called             0   0   1   
a good thing              1   0   0   
a hall like               0   1   0   
a hobbit i                0   1   0   
a hobbit not              0   1   0   
a hobbit the              1   0   0   
a hole in                 0   1   0   
a huddle of               0   0   1   
a large order             0   0   1   
a large tawny             0   0   1   
a little people           0   1   0   
a little shake            0   0   1   
a local legend            1   0   0   
a lot of                  0   0   1   
a map for                 0   0   1   
a map in                  0   0   1   
a mile off                0   1   0   
a more attentive          1   0   0   
a nasty dirty             0   1   0   
a noise like              0   1   0   
a party of                1   0   0   
a passion for             1   0   0   
a perfectly normal        0   0   1   
a perfectly round         0   1   0   
a porthole painted        0   1   0   
a quarter of              0   1   0   
a queer breed             1   0   0   
a rather curious          1   0   0   
a screaming dudley        0   0   1   
a second dursley          0   0   1   
a second edition          0   1   0   
a secret and              0   0   1   
a shiny yellow            0   1   0   
a sister because          0   0   1   
a small inn               1   0   0   
a small son               0   0   2   
a story of                0   1   0   
a tabby cat               0   0   1   
a tantrum and             0   0   1   
a trick of                0   0   1   
a tunnel a                0   1   0   
a very comfortable        0   1   0   
a very good               0   0   1   
a very hobbit             0   1   0   
a very large              0   0   1   
a very respectable        1   0   0   
a while members           0   1   0   
a wife away               1   0   0   
a young hobbit            1   0   0   
about fifty years         0   1   0   
about half our            0   1   0   
about him and             0   1   0   
about people in           0   0   1   
about the cloudy          0   0   1   
about the potters         0   0   1   
about them and            0   1   0   
about them except         0   1   0   
about this frodo          1   0   0   
about with boats          1   0   0   
absurd but certainly      0   1   0   
across the road           0   0   1   
across the water          0   2   0   
admirers among the        1   0   0   
adopted frodo as          1   0   0   
adventure and found       0   1   0   
adventures after she      0   1   0   
adventures or did         0   1   0   
adventures they discreetly0   1   0   
after all his             1   0   0   
after breakfast smoking   0   1   0   
after dinner which        0   1   0   
after owl sped            0   0   1   
after she became          0   1   0   
again the chief           1   0   0   
again there was           0   0   1   
age at twelve             1   0   0   
age for a                 1   0   0   
