								  t1  t2  t3
a                                 16  26  27  
a and                             0   1   0   
a and that                        0   1   0   
a baggins                         1   2   0   
a baggins a                       1   0   0   
a baggins had                     0   1   0   
a baggins would                   0   1   0   
a big                             0   0   1   
a big beefy                       0   0   1   
a bit                             0   1   1   
a bit more                        0   0   1   
a bit queer                       0   1   0   
a brandybuck                      1   0   0   
a brandybuck they                 1   0   0   
a bun                             0   0   1   
a bun from                        0   0   1   
a cat                             0   0   1   
a cat reading                     0   0   1   
a chance                          0   1   0   
a chance to                       0   1   0   
a child                           0   0   1   
a child like                      0   0   1   
a couple                          0   0   1   
a couple of                       0   0   1   
a dark                            1   0   0   
a dark bad                        1   0   0   
a day                             0   1   0   
a day when                        0   1   0   
a decent                          1   0   0   
a decent respectable              1   0   0   
a dry                             0   1   0   
a dry bare                        0   1   0   
a fairy                           0   1   0   
a fairy wife                      0   1   0   
a few                             0   0   1   
a few minutes                     0   0   1   
a firm                            0   0   1   
a firm called                     0   0   1   
a good                            1   0   0   
a good thing                      1   0   0   
a hall                            0   1   0   
a hall like                       0   1   0   
a hobbit                          1   2   0   
a hobbit i                        0   1   0   
a hobbit not                      0   1   0   
a hobbit the                      1   0   0   
a hole                            0   1   0   
a hole in                         0   1   0   
a huddle                          0   0   1   
a huddle of                       0   0   1   
a large                           0   0   2   
a large order                     0   0   1   
a large tawny                     0   0   1   
a little                          0   1   1   
a little people                   0   1   0   
a little shake                    0   0   1   
a local                           1   0   0   
a local legend                    1   0   0   
a lot                             0   0   1   
a lot of                          0   0   1   
a map                             0   0   2   
a map for                         0   0   1   
a map in                          0   0   1   
a mile                            0   1   0   
a mile off                        0   1   0   
a more                            1   0   0   
a more attentive                  1   0   0   
a nasty                           0   1   0   
a nasty dirty                     0   1   0   
a noise                           0   1   0   
a noise like                      0   1   0   
a party                           1   0   0   
a party of                        1   0   0   
a passion                         1   0   0   
a passion for                     1   0   0   
a perfectly                       0   1   1   
a perfectly normal                0   0   1   
a perfectly round                 0   1   0   
a porthole                        0   1   0   
a porthole painted                0   1   0   
a quarter                         0   1   0   
a quarter of                      0   1   0   
a queer                           1   0   0   
a queer breed                     1   0   0   
a rather                          1   0   0   
a rather curious                  1   0   0   
a screaming                       0   0   1   
a screaming dudley                0   0   1   
a second                          0   1   1   
a second dursley                  0   0   1   
a second edition                  0   1   0   
a secret                          0   0   1   
a secret and                      0   0   1   
a shiny                           0   1   0   
a shiny yellow                    0   1   0   
a sister                          0   0   1   
a sister because                  0   0   1   
a small                           1   0   2   
a small inn                       1   0   0   
a small son                       0   0   2   
a story                           0   1   0   
a story of                        0   1   0   
a tabby                           0   0   1   
a tabby cat                       0   0   1   
a tantrum                         0   0   1   
a tantrum and                     0   0   1   
a trick                           0   0   1   
a trick of                        0   0   1   
a tunnel                          0   1   0   
a tunnel a                        0   1   0   
a very                            1   2   2   
a very comfortable                0   1   0   
a very good                       0   0   1   
a very hobbit                     0   1   0   
a very large                      0   0   1   
a very respectable                1   0   0   
a while                           0   1   0   
a while members                   0   1   0   
a wife                            1   0   0   
a wife away                       1   0   0   
a young                           1   0   0   
a young hobbit                    1   0   0   
about                             2   5   3   
about fifty                       0   1   0   
about fifty years                 0   1   0   
about half                        0   1   0   
about half our                    0   1   0   
about him                         0   1   0   
about him and                     0   1   0   
about people                      0   0   1   
about people in                   0   0   1   
about the                         0   0   2   
about the cloudy                  0   0   1   
about the potters                 0   0   1   
about them                        0   2   0   
about them and                    0   1   0   
about them except                 0   1   0   
about this                        1   0   0   
about this frodo                  1   0   0   
about with                        1   0   0   
about with boats                  1   0   0   
absurd                            0   1   0   
absurd but                        0   1   0   
absurd but certainly              0   1   0   
across                            0   2   1   
across the                        0   2   1   
across the road                   0   0   1   
across the water                  0   2   0   
admirers                          1   0   0   
admirers among                    1   0   0   
admirers among the                1   0   0   
adopted                           1   0   0   
adopted frodo                     1   0   0   
adopted frodo as                  1   0   0   
adventure                         0   1   0   
adventure and                     0   1   0   
adventure and found               0   1   0   
adventures                        0   3   0   
adventures after                  0   1   0   
adventures after she              0   1   0   
adventures or                     0   1   0   
adventures or did                 0   1   0   
adventures they                   0   1   0   
adventures they discreetly        0   1   0   
after                             1   3   1   
after all                         1   0   0   
after all his                     1   0   0   
after breakfast                   0   1   0   
after breakfast smoking           0   1   0   
after dinner                      0   1   0   
after dinner which                0   1   0   
after owl                         0   0   1   
after owl sped                    0   0   1   
after she                         0   1   0   
after she became                  0   1   0   
again                             2   0   1   
again the                         1   0   0   
again the chief                   1   0   0   
again there                       0   0   1   
again there was                   0   0   1   
age                               2   0   0   
age at                            1   0   0   
age at twelve                     1   0   0   
age for                           1   0   0   
age for a                         1   0   0   
agin                              1   0   0   
agin the                          1   0   0   
agin the old                      1   0   0   
ago                               0   2   0   
ago in                            0   1   0   
ago in the                        0   1   0   
ago one                           0   1   0   
ago one of                        0   1   0   
all                               3   4   2   
all his                           1   0   0   
all his father                    1   0   0   
all in                            1   0   0   
all in the                        1   0   0   
all on                            0   1   0   
all on the                        0   1   0   
all over                          1   0   1   
all over the                      1   0   1   
all the                           0   1   0   
all the people                    0   1   0   
all there                         0   1   0   
all there is                      0   1   0   
all were                          0   1   0   
all were on                       0   1   0   
all why                           0   0   1   
all why that                      0   0   1   
along                             0   1   0   
along making                      0   1   0   
along making a                    0   1   0   
also                              1   1   1   
also because                      0   1   0   
also because they                 0   1   0   
also had                          0   0   1   
also had a                        0   0   1   
also his                          1   0   0   
also his prolonged                1   0   0   
although                          0   1   1   
although he                       0   1   1   
although he did                   0   0   1   
although he looked                0   1   0   
altogether                        0   1   0   
altogether unexpected             0   1   0   
altogether unexpected he          0   1   0   
always                            1   0   1   
always said                       1   0   0   
always said the                   1   0   0   
always sat                        0   0   1   
always sat with                   0   0   1   
among                             1   0   0   
among the                         1   0   0   
among the hobbits                 1   0   0   
amount                            0   0   1   
amount of                         0   0   1   
amount of neck                    0   0   1   
an                                1   4   2   
an adventure                      0   1   0   
an adventure and                  0   1   0   
an cloak                          0   0   1   
an cloak the                      0   0   1   
an enormous                       0   1   0   
an enormous long                  0   1   0   
an important                      1   0   0   
an important number               1   0   0   
an oozy                           0   1   0   
an oozy smell                     0   1   0   
an owl                            0   0   1   
an owl even                       0   0   1   
an unexpected                     0   1   0   
an unexpected party               0   1   0   
ancestors                         0   1   0   
ancestors must                    0   1   0   
ancestors must have               0   1   0   
and                               35  36  21  
and a                             1   0   1   
and a few                         0   0   1   
and a very                        1   0   0   
and an                            0   1   0   
and an oozy                       0   1   0   
and as                            1   0   0   
and as baggins                    1   0   0   
and backed                        0   0   1   
and backed out                    0   0   1   
and behaved                       0   1   0   
and behaved exactly               0   1   0   
and bilbo                         0   1   0   
and bilbo baggins                 0   1   0   
and blonde                        0   0   1   
and blonde and                    0   0   1   
and brought                       1   0   0   
and brought him                   1   0   0   
and bywater                       1   0   0   
and bywater and                   1   0   0   
and carpeted                      0   1   0   
and carpeted provided             0   1   0   
and character                     1   0   0   
and character of                  1   0   0   
and comfortable                   0   1   0   
and comfortable father            0   1   0   
and coming                        1   0   0   
and coming of                     1   0   0   
and consulting                    1   0   0   
and consulting him                1   0   0   
and dursley                       0   0   3   
and dursley gossiped              0   0   1   
and dursley of                    0   0   1   
and dursley woke                  0   0   1   
and excitement                    1   0   0   
and excitement in                 1   0   0   
and favourite                     1   0   0   
and favourite was                 1   0   0   
and floors                        0   1   0   
and floors tiled                  0   1   0   
and found                         0   1   0   
and found himself                 0   1   0   
and frodo                         3   0   0   
and frodo happened                1   0   0   
and frodo they                    1   0   0   
and frodo was                     1   0   0   
and gazed                         0   0   1   
and gazed mouthed                 0   0   1   
and had                           2   0   1   
and had been                      1   0   0   
and had helped                    1   0   0   
and had nearly                    0   0   1   
and have                          0   1   0   
and have adventures               0   1   0   
and he                            2   0   0   
and he had                        1   0   0   
and he spoke                      1   0   0   
and her                           0   0   1   
and her husband                   0   0   1   
and his                           1   1   1   
and his eyes                      0   0   1   
and his good                      1   0   0   
and his name                      0   1   0   
and i                             0   1   0   
and i have                        0   1   0   
and if                            1   0   0   
and if that                       1   0   0   
and in                            1   0   1   
and in more                       1   0   0   
and in their                      0   0   1   
and indeed                        0   1   0   
and indeed on                     0   1   0   
and it                            1   0   0   
and it was                        1   0   0   
and laugh                         0   1   0   
and laugh deep                    0   1   0   
and live                          1   0   0   
and live here                     1   0   0   
and living                        0   1   0   
and living in                     0   1   0   
and lots                          0   2   0   
and lots and                      0   1   0   
and lots of                       0   1   0   
and many                          0   1   0   
and many little                   0   1   0   
and me                            0   1   0   
and me come                       0   1   0   
and meadows                       0   1   0   
